"statistic_yyy","site_id","village","household_ordinary_total","household_business_total","household_single_total","household_ordinary_m","household_business_m","household_single_m","household_ordinary_f","household_business_f","household_single_f"
"統計年","區域別","村里名稱","共同生活戶_戶數","共同事業戶_戶數","單獨生活戶_戶數","共同生活戶_男","共同事業戶_男","單獨生活戶_男","共同生活戶_女","共同事業戶_女","單獨生活戶_女"
"105","新北市板橋區","留侯里","432","0","252","664","0","114","739","0","138"
"105","新北市板橋區","流芳里","402","0","236","628","0","110","712","0","126"
"105","新北市板橋區","赤松里","212","0","108","349","0","52","365","0","56"
"105","新北市板橋區","黃石里","304","0","142","515","0","66","527","0","76"
"105","新北市板橋區","挹秀里","468","0","282","755","0","132","775","0","150"
"105","新北市板橋區","湳興里","1426","0","907","2312","0","427","2477","0","480"
"105","新北市板橋區","新興里","807","0","675","1301","0","274","1319","0","401"
"105","新北市板橋區","社後里","2014","0","2833","3213","0","1939","3214","0","894"
"105","新北市板橋區","香社里","1158","0","439","2029","0","226","2051","0","213"
"105","新北市板橋區","中正里","1125","0","486","1973","0","254","2069","0","232"
"105","新北市板橋區","自強里","1421","0","623","2336","0","290","2431","0","333"
"105","新北市板橋區","自立里","754","0","338","1251","0","170","1336","0","168"
"105","新北市板橋區","光華里","734","0","375","1212","0","171","1226","0","204"
"105","新北市板橋區","國光里","1017","0","546","1596","0","276","1710","0","270"
"105","新北市板橋區","港尾里","790","0","312","1303","0","135","1430","0","177"
"105","新北市板橋區","金華里","1051","0","409","1844","0","190","1910","0","219"
"105","新北市板橋區","港德里","1314","0","622","2244","0","290","2242","0","332"
"105","新北市板橋區","民權里","710","0","379","1179","0","192","1215","0","187"
"105","新北市板橋區","建國里","933","0","482","1570","0","250","1660","0","232"
"105","新北市板橋區","漢生里","1149","0","513","1895","0","263","2051","0","250"
"105","新北市板橋區","公舘里","1033","0","455","1779","0","222","1862","0","233"
"105","新北市板橋區","新民里","1218","0","514","2006","0","263","2154","0","251"
"105","新北市板橋區","幸福里","1069","0","444","1834","0","230","1869","0","214"
"105","新北市板橋區","忠誠里","1138","0","548","1797","0","261","1907","0","287"
"105","新北市板橋區","百壽里","663","0","270","1077","0","132","1164","0","138"
"105","新北市板橋區","介壽里","834","0","375","1340","0","179","1473","0","196"
"105","新北市板橋區","新埔里","547","0","332","910","0","163","956","0","169"
"105","新北市板橋區","華江里","2009","0","1165","3097","0","494","3492","0","671"
"105","新北市板橋區","江翠里","1235","0","552","2162","0","257","2197","0","295"
"105","新北市板橋區","純翠里","1440","0","646","2466","0","298","2524","0","348"
"105","新北市板橋區","溪頭里","1615","0","817","2720","0","385","2791","0","432"
"105","新北市板橋區","聯翠里","938","0","704","1465","0","299","1599","0","405"
"105","新北市板橋區","宏翠里","1240","0","942","1960","0","425","2093","0","517"
"105","新北市板橋區","仁翠里","762","0","353","1310","0","160","1366","0","193"
"105","新北市板橋區","新翠里","2093","0","976","3501","0","438","3703","0","538"
"105","新北市板橋區","吉翠里","994","0","389","1748","0","186","1818","0","203"
"105","新北市板橋區","德翠里","1968","0","732","3351","0","380","3548","0","352"
"105","新北市板橋區","滿翠里","775","0","364","1342","0","156","1399","0","208"
"105","新北市板橋區","明翠里","1278","1","673","2110","1","323","2276","0","350"
"105","新北市板橋區","松翠里","889","0","508","1467","0","237","1548","0","271"
"105","新北市板橋區","柏翠里","1039","0","721","1684","0","333","1832","0","388"
"105","新北市板橋區","龍翠里","1322","0","679","2238","0","318","2379","0","361"
"105","新北市板橋區","華翠里","1022","0","371","1683","0","170","1817","0","201"
"105","新北市板橋區","忠翠里","2920","0","1478","4580","0","621","4973","0","857"
"105","新北市板橋區","嵐翠里","674","0","320","1177","0","158","1159","0","162"
"105","新北市板橋區","文翠里","1083","0","515","1835","0","250","1870","0","265"
"105","新北市板橋區","青翠里","791","0","415","1377","0","232","1325","0","183"
"105","新北市板橋區","懷翠里","1597","0","649","2754","0","332","2844","0","317"
"105","新北市板橋區","福翠里","358","0","199","598","0","102","597","0","97"
"105","新北市板橋區","港嘴里","1640","0","809","2765","0","415","2849","0","394"
"105","新北市板橋區","振興里","1141","0","535","1998","0","262","2064","0","273"
"105","新北市板橋區","振義里","1109","0","526","1904","0","258","1974","0","268"
"105","新北市板橋區","光復里","867","0","471","1524","0","228","1456","0","243"
"105","新北市板橋區","埔墘里","1657","0","900","2712","0","401","2904","0","499"
"105","新北市板橋區","長壽里","742","0","287","1329","0","132","1339","0","155"
"105","新北市板橋區","福壽里","885","0","387","1508","0","205","1591","0","182"
"105","新北市板橋區","海山里","2252","0","576","3752","0","292","4158","0","284"
"105","新北市板橋區","九如里","769","0","304","1321","0","124","1381","0","180"
"105","新北市板橋區","玉光里","1453","0","737","2325","0","341","2580","0","396"
"105","新北市板橋區","光仁里","781","0","273","1403","0","138","1447","0","135"
"105","新北市板橋區","埤墘里","1198","0","505","1963","0","233","2127","0","272"
"105","新北市板橋區","永安里","976","0","433","1596","0","209","1637","0","224"
"105","新北市板橋區","雙玉里","1126","0","424","1905","0","203","2023","0","221"
"105","新北市板橋區","廣新里","969","0","327","1747","0","158","1766","0","169"
"105","新北市板橋區","深丘里","2438","0","1296","3942","0","573","4153","0","723"
"105","新北市板橋區","香丘里","1069","0","415","1761","0","204","1857","0","211"
"105","新北市板橋區","西安里","740","0","305","1245","0","160","1298","0","145"
"105","新北市板橋區","東丘里","1245","0","450","2235","0","225","2319","0","225"
"105","新北市板橋區","長安里","1307","0","430","2236","0","203","2367","0","227"
"105","新北市板橋區","福丘里","1291","0","941","1926","0","412","2173","0","529"
"105","新北市板橋區","福祿里","1098","0","492","1720","0","240","1959","0","252"
"105","新北市板橋區","民族里","1383","0","422","2291","0","217","2478","0","205"
"105","新北市板橋區","國泰里","983","0","475","1586","0","225","1755","0","250"
"105","新北市板橋區","福德里","1380","0","604","2377","0","318","2441","0","286"
"105","新北市板橋區","景星里","904","0","583","1449","0","271","1557","0","312"
"105","新北市板橋區","福星里","946","0","410","1597","0","188","1708","0","222"
"105","新北市板橋區","鄉雲里","967","1","602","1581","4","255","1698","7","347"
"105","新北市板橋區","廣德里","1848","0","755","3135","0","346","3273","0","409"
"105","新北市板橋區","大豐里","1270","0","515","2167","0","241","2250","0","274"
"105","新北市板橋區","重慶里","2377","0","936","4075","0","451","4240","0","485"
"105","新北市板橋區","仁愛里","877","0","292","1509","0","135","1491","0","157"
"105","新北市板橋區","和平里","1088","0","535","1692","0","226","1840","0","309"
"105","新北市板橋區","廣福里","1100","0","473","1862","0","274","2020","0","199"
"105","新北市板橋區","華興里","1096","0","508","1842","0","247","1975","0","261"
"105","新北市板橋區","華貴里","723","0","302","1232","0","140","1312","0","162"
"105","新北市板橋區","華德里","1903","0","1041","3138","0","466","3232","0","575"
"105","新北市板橋區","華東里","1881","0","1144","2946","0","537","3088","0","607"
"105","新北市板橋區","信義里","1124","0","586","1908","0","283","1938","0","303"
"105","新北市板橋區","浮洲里","973","2","442","1798","128","244","1820","49","198"
"105","新北市板橋區","華中里","1418","0","517","2542","0","277","2552","0","240"
"105","新北市板橋區","僑中里","1052","0","379","1907","0","205","1957","0","174"
"105","新北市板橋區","中山里","1114","0","560","1855","0","283","1901","0","277"
"105","新北市板橋區","復興里","222","1","97","395","236","48","386","5","49"
"105","新北市板橋區","大安里","1057","0","482","1908","0","258","1919","0","224"
"105","新北市板橋區","福安里","679","0","335","1162","0","168","1208","0","167"
"105","新北市板橋區","聚安里","1434","0","584","2529","0","314","2545","0","270"
"105","新北市板橋區","龍安里","764","0","325","1306","0","155","1391","0","170"
"105","新北市板橋區","崑崙里","2640","0","1061","4642","0","489","4770","0","572"
"105","新北市板橋區","溪洲里","1624","0","575","2827","0","252","2918","0","323"
"105","新北市板橋區","溪北里","983","0","372","1666","0","183","1747","0","189"
"105","新北市板橋區","香雅里","689","0","299","1187","0","143","1195","0","156"
"105","新北市板橋區","新生里","1188","0","373","2082","0","181","2072","0","192"
"105","新北市板橋區","文德里","852","0","332","1489","0","155","1466","0","177"
"105","新北市板橋區","文化里","891","0","487","1488","0","230","1554","0","257"
"105","新北市板橋區","新海里","931","0","316","1749","0","140","1702","0","176"
"105","新北市板橋區","莒光里","782","0","389","1330","0","194","1370","0","195"
"105","新北市板橋區","富貴里","630","0","242","1026","0","106","1116","0","136"
